PC-,explained_ratio,most_important_feature,Cumulative_ratio
1,0.193866393,GrLivArea,0.193866393
2,0.095642449,2ndFlrSF,0.289508843
3,0.065104229,YearBuilt,0.354613072
4,0.059871577,BsmtUnfSF,0.414484649
5,0.044401835,KitchenAbvGr,0.458886483
6,0.035849571,YrSold,0.494736055
7,0.034835775,BsmtHalfBath,0.52957183
8,0.033565833,ScreenPorch,0.563137663
9,0.032590429,MiscVal,0.595728091
10,0.031552133,LowQualFinSF,0.627280224
11,0.030736233,MiscVal,0.658016457
12,0.030109206,MoSold,0.688125663
13,0.029555413,EnclosedPorch,0.717681075
14,0.028575694,BsmtFinSF2,0.74625677
15,0.027024084,LowQualFinSF,0.773280854
16,0.026377984,Fireplaces,0.799658838
17,0.025361981,OpenPorchSF,0.825020819
